owner,segment_name,size_in_mb,num_rows,date
OGGWMS,WMS_ST_SECTION_DEF,0,1084.0,20240821
OGGWMS,TPRICE_CORP_MODEL_JOB,0,0.0,20240821
OGGWMS,WMS_BOX_DOC,696,7659173.0,20240821
OGGWMS,WMS_GOODSSTATUS,0,16.0,20240821
OGGWMS,WMS_GOODSOWNER_TO_SECTION,0,1714.0,20240821
OGGWMS,WMS_GOODS_LOT_CONSERVE,47,1234822.0,20240821
OGGWMS,WMS_DEVICE_DRIVER_INFO,0,2.0,20240821
OGGERP,BMS_LS_DOC,1,11013.0,20240821
OGGERP,GRESA_GOODS_TIEIN_LST,0,4.0,20240821
OGGERP,GRESA_BACKTOSALE,168,7020042.0,20240821
OGGERP,ZX_XYUE_PT_20181110,1,23185.0,20240821
OGGERP,TMP_CUSTOMIS_LIJING_1,0,256.0,20240821
OGGWMS,ZX_710030_TMP,192,632530.0,20240821
OGGWMS,NP_CLUSTER_LOG,0,5.0,20240821
OGGWMS,WMS_WAVE_DTL,864,5937711.0,20240821
OGGERP,NFN_GDZC_CHANGE,8,56195.0,20240821
OGGERP,NFN_GDZC_CARD_DEPT,0,3703.0,20240821
OGGERP,NFN_GDZC_CARD,1,3841.0,20240821
OGGERP,T101,2,0.0,20240821
OGGERP,TMP_ISPRECIOUS,0,2559.0,20240821
OGGERP,T101_HIS,7877,30402441.0,20240821
OGGERP,MPCS_PR_MATERIALOUT_TMP,3,22576.0,20240821
OGGERP,PUB_MULTI_CUSTOM_VARIETY,0,28.0,20240821
OGGERP,PUB_GOODS_VARIETY,0,1221.0,20240821
OGGERP,PUB_SETTLETYPE_DDL,0,18.0,20240821
OGGERP,PUB_SERIALNO,0,445.0,20240821
OGGERP,PUB_PRINTPOINT,0,1.0,20240821
OGGERP,RESA_POSTOCOUNTER,0,132.0,20240821
OGGERP,RESA_GSP_QUALITY_CHECK,1152,9685763.0,20240821
OGGERP,ZX_PR_ZHB,0,476.0,20240821
OGGERP,ZX_PUB_GOODS_PICTURE,0,0.0,20240821
OGGERP,ZX_111064_DTL_TMP,0,53.0,20240821
OGGERP,GPCS_PLACEACCTORETURN,0,47.0,20240821
OGGERP,GPCS_LOWTMPER_GOODS_STORE,112,2690589.0,20240821
OGGERP,BMS_TR_FETCH_DTL,392,3733088.0,20240821
OGGERP,PM4_QZ_SET_USERS,0,79.0,20240821
OGGERP,ZCL_BMS_TR_POS_DEF,1,7526.0,20240821
OGGERP,BMS_SUDOC_TYPE,0,4.0,20240821
OGGERP,MPCS_NPOP_TAB,0,9.0,20240821
OGGERP,MPCS_NM_WORKS_GROUP_DTL,0,48.0,20240821
OGGERP,MPCS_PR_MATERIALOUT_DOC,21,194661.0,20240821
OGGERP,NFN_CODEPOLICY_COMMON,0,6.0,20240821
OGGERP,NFN_COMB_OFFSET_COM,1,8510.0,20240821
OGGERP,NFN_FOREIGNMONEY_END,0,108.0,20240821
OGGWMS,WMS_RESPONSE,136,2928340.0,20240821
OGGWMS,TPL_ERP_CONN_LST,0,44.0,20240821
OGGWMS,TPL_DRUGFORM,0,155.0,20240821
OGGWMS,T302,1,14.0,20240821
OGGERP,ZX_108113,0,7.0,20240821
OGGERP,BMS_CREDIT_TMP_1,0,424.0,20240821
OGGERP,BMS_CREDIT_LEVEL_6,0,8151.0,20240821
OGGERP,MPCS_MC_COSTCENTER_DTL,0,8.0,20240821
OGGERP,MPCS_MC_FEETYPE_DEF,0,9.0,20240821
OGGERP,MPCS_MC_MON_WORKTIME_REC,3,28963.0,20240821
OGGERP,YBH_T_OLDTONEW,4,98730.0,20240821
OGGERP,BMS_ST_IO_DTL_OF13565,0,163.0,20240821
OGGERP,T_101178,0,679.0,20240821
OGGERP,T_101179,0,10.0,20240821
OGGERP,ZX_108143,3,50021.0,20240821
OGGERP,TMP_ENRTYGOOD_20181126,0,157.0,20240821
OGGERP,ZX_TL_108120_TMP,0,3828.0,20240821
OGGERP,T_108131,1603,35684137.0,20240821
OGGERP,EAS_KMDZ,0,1217.0,20240821
OGGERP,ZX_GPCS_INSIDER_LEVEL,0,1.0,20240821
OGGERP,T_101166,0,116.0,20240821
OGGERP,ZX_BMS_CONTRASTPRICE,0,103.0,20240821
OGGERP,BMS_CERT_DOC_TMP,1,26212.0,20240821
OGGERP,TMP_SUSET_INVNO,0,2657.0,20240821
OGGERP,ZX_GPCS_PLACEPOINT_TYPE,0,7.0,20240821
OGGERP,BMS_SK_REM_BK,112,2192476.0,20240821
OGGERP,YLF_CH,0,856.0,20240821
OGGERP,MPCS_MC_COMAT_ALLOCATION_DOC,0,5654.0,20240821
OGGERP,ZX_GPCS_REQ_SET,0,190.0,20240821
OGGERP,PUB_ALTGOODS_DEF,0,2515.0,20240821
OGGERP,PM_SWAP_DATA_LOG,50,353008.0,20240821
OGGERP,NSNS_PARAMS,0,1.0,20240821
OGGERP,PUB_COUNTRY,0,2887.0,20240821
OGGERP,PUB_COMPANY,17,95636.0,20240821
OGGERP,PUB_CUSTOMER_QX,0,328.0,20240821
OGGERP,PUB_DDL,0,196.0,20240821
OGGERP,PUB_DATAIMP_DOC,1,20319.0,20240821
OGGERP,PUB_CUSTOM_TO_SALER,6,156237.0,20240821
OGGERP,PUB_DEPT_SUPPLY,0,90.0,20240821
OGGERP,PUB_FORMONEY_RATE,0,3.0,20240821
OGGERP,PUB_FACTORY,3,17121.0,20240821
OGGERP,PUB_GOODS_SET,0,4530.0,20240821
OGGERP,PUB_GOODS_SEASON_DEF,0,2.0,20240821
OGGERP,PUB_GOODS_PRICE,1,16124.0,20240821
OGGERP,ZX_111015_1,0,714.0,20240821
OGGERP,ZYC_GOODS_TEMP,0,478.0,20240821
OGGERP,ZX_111040_QX,11,125282.0,20240821
OGGERP,ZX_116062,0,541.0,20240821
OGGERP,ZX_116045_QX,25,161170.0,20240821
OGGERP,TMP_GOODSVARIETY,0,7137.0,20240821
OGGERP,NMRMS_TEMPLATE_CONFIG,0,3.0,20240821
OGGERP,NPBI_VIEW,0,205.0,20240821
OGGERP,NPBI_BASETABLE_COLUMN,0,1078.0,20240821
OGGERP,NP_AUTHAREA_OPAP,4,80959.0,20240821
OGGERP,NP_EMPLOYEE_ROLE,0,13633.0,20240821
OGGERP,NP_QF,0,1.0,20240821
OGGERP,NP_RUNOP_LOG,2178,52846185.0,20240821
OGGERP,NP_ROLE_PUSH,0,7005.0,20240821
OGGERP,NP_QF_INSTANCE_WAIT,0,0.0,20240821
OGGERP,NP_USER_OP,1,37347.0,20240821
OGGERP,NP_SHORTMSG_SETTING,0,2.0,20240821
OGGERP,NP_WF_INSTANCE,0,7071.0,20240821
OGGERP,NP_WF_QUEUE,0,0.0,20240821
LYERP,T_101147_DTL,0,30.0,20240821
LYERP,T_101147_DOC,0,1.0,20240821
LYERP,NP_TASK_SERVICE_DEFUALTPARAM,0,2.0,20240821
LYERP,PM4_ZZDYF_SUPPLY_NEWOLD,0,109.0,20240821
LYERP,BMS_SU_REBATE_REC_DOC,0,2.0,20240821
LYERP,ZX_111053,0,4816.0,20240821
LYERP,TMP_20180508,0,557.0,20240821
LYERP,BMS_SASET_IMP_TMP_BAK2,9,57850.0,20240821
LYERP,ZX_111066_DOC,0,7586.0,20240821
LYERP,BMS_SK_REM_BACKUP20191101,0,8201.0,20240821
LYERP,BMS_SK_REM_BACKUP20191025,3,41069.0,20240821
LYERP,ZX_101158,0,438.0,20240821
LYERP,ZX_101159_DTL,0,595.0,20240821
LYERP,ZX_WS_GOODS_HIDE,0,13.0,20240821
LYERP,PM4_QZ_CUSTOM_AGENT,0,121.0,20240821
LYERP,PM4_QZ_CUSTOMER_SALER,0,718.0,20240821
LYERP,PM4_QZ_SET_STORERPOS,0,706.0,20240821
LYERP,BMS_SU_SET_DOC,1093,3591045.0,20240821
LYERP,XYUE_CHANGE,0,190.0,20240821
LYERP,ZZ_PUB_GOODS_TMP,14,45964.0,20240821
LYERP,ZX_116047_UNIT,0,625.0,20240821
