storageid,placepointname,date,daily_costing
363,厦门鹭燕大药房寨上分店,2023-06-07,335098.393141
363,厦门鹭燕大药房寨上分店,2023-06-08,340941.62634099997
363,厦门鹭燕大药房寨上分店,2023-06-09,333765.07297599997
363,厦门鹭燕大药房寨上分店,2023-06-10,339844.25537599996
363,厦门鹭燕大药房寨上分店,2023-06-11,337880.94492599997
363,厦门鹭燕大药房寨上分店,2023-06-12,334671.76202599995
363,厦门鹭燕大药房寨上分店,2023-06-13,330057.35710100003
363,厦门鹭燕大药房寨上分店,2023-06-14,354646.34981
363,厦门鹭燕大药房寨上分店,2023-06-15,345439.66581
363,厦门鹭燕大药房寨上分店,2023-06-16,343595.21516
363,厦门鹭燕大药房寨上分店,2023-06-17,340722.07196
363,厦门鹭燕大药房寨上分店,2023-06-18,336138.683745
363,厦门鹭燕大药房寨上分店,2023-06-19,335222.296077
363,厦门鹭燕大药房寨上分店,2023-06-20,332469.250927
363,厦门鹭燕大药房寨上分店,2023-06-21,330578.602077
363,厦门鹭燕大药房寨上分店,2023-06-22,337136.56401599996
363,厦门鹭燕大药房寨上分店,2023-06-23,333732.380952
363,厦门鹭燕大药房寨上分店,2023-06-24,330813.680652
363,厦门鹭燕大药房寨上分店,2023-06-25,329115.972252
363,厦门鹭燕大药房寨上分店,2023-06-26,324550.406502
363,厦门鹭燕大药房寨上分店,2023-06-27,323055.91266
363,厦门鹭燕大药房寨上分店,2023-06-28,337380.369282
363,厦门鹭燕大药房寨上分店,2023-06-29,335918.03367299994
363,厦门鹭燕大药房寨上分店,2023-06-30,327177.756553
363,厦门鹭燕大药房寨上分店,2023-07-01,329709.914403
363,厦门鹭燕大药房寨上分店,2023-07-02,327633.926053
363,厦门鹭燕大药房寨上分店,2023-07-03,325579.306953
363,厦门鹭燕大药房寨上分店,2023-07-04,318839.70380300004
363,厦门鹭燕大药房寨上分店,2023-07-05,316098.16028999997
363,厦门鹭燕大药房寨上分店,2023-07-06,332404.59249
363,厦门鹭燕大药房寨上分店,2023-07-07,330655.122142
363,厦门鹭燕大药房寨上分店,2023-07-08,330713.11019199993
363,厦门鹭燕大药房寨上分店,2023-07-09,329178.301942
363,厦门鹭燕大药房寨上分店,2023-07-10,328036.738392
363,厦门鹭燕大药房寨上分店,2023-07-11,321575.08494200004
363,厦门鹭燕大药房寨上分店,2023-07-12,328532.261542
363,厦门鹭燕大药房寨上分店,2023-07-13,325826.512599
363,厦门鹭燕大药房寨上分店,2023-07-14,326628.22036300006
363,厦门鹭燕大药房寨上分店,2023-07-15,321542.436063
363,厦门鹭燕大药房寨上分店,2023-07-16,318451.862663
363,厦门鹭燕大药房寨上分店,2023-07-17,314298.882363
363,厦门鹭燕大药房寨上分店,2023-07-18,309432.674513
363,厦门鹭燕大药房寨上分店,2023-07-19,329134.132495
363,厦门鹭燕大药房寨上分店,2023-07-20,326761.96729
363,厦门鹭燕大药房寨上分店,2023-07-21,327275.553248
363,厦门鹭燕大药房寨上分店,2023-07-22,334446.938798
363,厦门鹭燕大药房寨上分店,2023-07-23,330394.191988
363,厦门鹭燕大药房寨上分店,2023-07-24,325048.23563799995
363,厦门鹭燕大药房寨上分店,2023-07-25,318009.200938
363,厦门鹭燕大药房寨上分店,2023-07-26,316164.588438
363,厦门鹭燕大药房寨上分店,2023-07-27,318496.39027
363,厦门鹭燕大药房寨上分店,2023-07-28,316839.61562
363,厦门鹭燕大药房寨上分店,2023-07-29,315552.07172
363,厦门鹭燕大药房寨上分店,2023-07-30,320108.70132
363,厦门鹭燕大药房寨上分店,2023-07-31,319499.46762
363,厦门鹭燕大药房寨上分店,2023-08-01,313560.86280999996
363,厦门鹭燕大药房寨上分店,2023-08-02,319242.90460999997
363,厦门鹭燕大药房寨上分店,2023-08-03,316456.98225999996
363,厦门鹭燕大药房寨上分店,2023-08-04,314878.69445999997
363,厦门鹭燕大药房寨上分店,2023-08-05,315620.32793699997
363,厦门鹭燕大药房寨上分店,2023-08-06,311778.75433699996
363,厦门鹭燕大药房寨上分店,2023-08-07,310424.50063699996
363,厦门鹭燕大药房寨上分店,2023-08-08,309093.20043699996
363,厦门鹭燕大药房寨上分店,2023-08-09,335863.641637
363,厦门鹭燕大药房寨上分店,2023-08-10,329852.299237
363,厦门鹭燕大药房寨上分店,2023-08-11,334263.68958700006
363,厦门鹭燕大药房寨上分店,2023-08-12,330395.512682
363,厦门鹭燕大药房寨上分店,2023-08-13,328382.441382
363,厦门鹭燕大药房寨上分店,2023-08-14,325505.556432
363,厦门鹭燕大药房寨上分店,2023-08-15,323932.674792
363,厦门鹭燕大药房寨上分店,2023-08-16,331683.89459199994
363,厦门鹭燕大药房寨上分店,2023-08-17,324124.951742
363,厦门鹭燕大药房寨上分店,2023-08-18,318663.182342
363,厦门鹭燕大药房寨上分店,2023-08-19,316540.242942
363,厦门鹭燕大药房寨上分店,2023-08-20,314708.01844099996
363,厦门鹭燕大药房寨上分店,2023-08-21,312013.86149100005
363,厦门鹭燕大药房寨上分店,2023-08-22,310335.713691
363,厦门鹭燕大药房寨上分店,2023-08-23,321027.47839099995
363,厦门鹭燕大药房寨上分店,2023-08-24,318232.516955
363,厦门鹭燕大药房寨上分店,2023-08-25,319505.570955
363,厦门鹭燕大药房寨上分店,2023-08-26,325728.086755
363,厦门鹭燕大药房寨上分店,2023-08-27,322952.23045699997
363,厦门鹭燕大药房寨上分店,2023-08-28,319233.82030699996
363,厦门鹭燕大药房寨上分店,2023-08-29,318632.93266199995
363,厦门鹭燕大药房寨上分店,2023-08-30,325574.443512
363,厦门鹭燕大药房寨上分店,2023-08-31,323393.326812
363,厦门鹭燕大药房寨上分店,2023-09-01,325135.426067
363,厦门鹭燕大药房寨上分店,2023-09-02,319991.428432
363,厦门鹭燕大药房寨上分店,2023-09-03,317118.733832
363,厦门鹭燕大药房寨上分店,2023-09-04,315021.89133199997
363,厦门鹭燕大药房寨上分店,2023-09-05,313746.439062
363,厦门鹭燕大药房寨上分店,2023-09-06,326424.772062
363,厦门鹭燕大药房寨上分店,2023-09-07,321033.788692
363,厦门鹭燕大药房寨上分店,2023-09-08,311260.499242
363,厦门鹭燕大药房寨上分店,2023-09-09,310320.191292
363,厦门鹭燕大药房寨上分店,2023-09-10,301560.077392
363,厦门鹭燕大药房寨上分店,2023-09-11,298805.642092
363,厦门鹭燕大药房寨上分店,2023-09-12,295899.707142
363,厦门鹭燕大药房寨上分店,2023-09-13,323512.744042
363,厦门鹭燕大药房寨上分店,2023-09-14,321603.48354200006
363,厦门鹭燕大药房寨上分店,2023-09-15,317207.002792
363,厦门鹭燕大药房寨上分店,2023-09-16,315006.340042
363,厦门鹭燕大药房寨上分店,2023-09-17,312080.118883
363,厦门鹭燕大药房寨上分店,2023-09-18,318152.124633
363,厦门鹭燕大药房寨上分店,2023-09-19,312493.867297
363,厦门鹭燕大药房寨上分店,2023-09-20,324215.143597
363,厦门鹭燕大药房寨上分店,2023-09-21,316375.98206300003
363,厦门鹭燕大药房寨上分店,2023-09-22,313559.800663
363,厦门鹭燕大药房寨上分店,2023-09-23,308898.638863
363,厦门鹭燕大药房寨上分店,2023-09-24,303963.064213
363,厦门鹭燕大药房寨上分店,2023-09-25,297751.273013
363,厦门鹭燕大药房寨上分店,2023-09-26,295526.973863
363,厦门鹭燕大药房寨上分店,2023-09-27,289040.943463
363,厦门鹭燕大药房寨上分店,2023-09-28,282175.32082699996
363,厦门鹭燕大药房寨上分店,2023-09-29,327984.875677
363,厦门鹭燕大药房寨上分店,2023-09-30,326334.512127
363,厦门鹭燕大药房寨上分店,2023-10-01,323831.143427
363,厦门鹭燕大药房寨上分店,2023-10-02,316072.849377
363,厦门鹭燕大药房寨上分店,2023-10-03,311715.608227
363,厦门鹭燕大药房寨上分店,2023-10-04,308259.01059099997
363,厦门鹭燕大药房寨上分店,2023-10-05,318837.222391
363,厦门鹭燕大药房寨上分店,2023-10-06,315498.072391
363,厦门鹭燕大药房寨上分店,2023-10-07,310969.130841
363,厦门鹭燕大药房寨上分店,2023-10-08,308125.20429100003
363,厦门鹭燕大药房寨上分店,2023-10-09,302492.365091
363,厦门鹭燕大药房寨上分店,2023-10-10,299012.456291
363,厦门鹭燕大药房寨上分店,2023-10-11,344401.72854099993
363,厦门鹭燕大药房寨上分店,2023-10-12,348118.01852599997
363,厦门鹭燕大药房寨上分店,2023-10-13,343137.384126
363,厦门鹭燕大药房寨上分店,2023-10-14,356340.203026
363,厦门鹭燕大药房寨上分店,2023-10-15,350184.18292500003
363,厦门鹭燕大药房寨上分店,2023-10-16,346463.223877
363,厦门鹭燕大药房寨上分店,2023-10-17,343565.25307700003
363,厦门鹭燕大药房寨上分店,2023-10-18,336811.96247699996
363,厦门鹭燕大药房寨上分店,2023-10-19,337985.087927
363,厦门鹭燕大药房寨上分店,2023-10-20,356749.913827
363,厦门鹭燕大药房寨上分店,2023-10-21,352451.135777
363,厦门鹭燕大药房寨上分店,2023-10-22,345711.646877
363,厦门鹭燕大药房寨上分店,2023-10-23,356231.571127
363,厦门鹭燕大药房寨上分店,2023-10-24,354439.795827
363,厦门鹭燕大药房寨上分店,2023-10-25,374929.710227
363,厦门鹭燕大药房寨上分店,2023-10-26,372547.888517
363,厦门鹭燕大药房寨上分店,2023-10-27,369388.433067
363,厦门鹭燕大药房寨上分店,2023-10-28,366608.090067
363,厦门鹭燕大药房寨上分店,2023-10-29,363527.42906700005
363,厦门鹭燕大药房寨上分店,2023-10-30,345475.51356700005
363,厦门鹭燕大药房寨上分店,2023-10-31,346104.364717
363,厦门鹭燕大药房寨上分店,2023-11-01,380652.489316
363,厦门鹭燕大药房寨上分店,2023-11-02,358136.604916
363,厦门鹭燕大药房寨上分店,2023-11-03,354567.094016
363,厦门鹭燕大药房寨上分店,2023-11-04,354464.64586600004
363,厦门鹭燕大药房寨上分店,2023-11-05,349831.965416
363,厦门鹭燕大药房寨上分店,2023-11-06,341696.554216
363,厦门鹭燕大药房寨上分店,2023-11-07,337235.034611
363,厦门鹭燕大药房寨上分店,2023-11-08,333500.809811
363,厦门鹭燕大药房寨上分店,2023-11-09,367436.656611
363,厦门鹭燕大药房寨上分店,2023-11-10,362668.881761
363,厦门鹭燕大药房寨上分店,2023-11-11,362720.674411
363,厦门鹭燕大药房寨上分店,2023-11-12,359054.074411
363,厦门鹭燕大药房寨上分店,2023-11-13,355344.411161
363,厦门鹭燕大药房寨上分店,2023-11-14,352320.711461
363,厦门鹭燕大药房寨上分店,2023-11-15,366614.755711
363,厦门鹭燕大药房寨上分店,2023-11-16,361418.025011
363,厦门鹭燕大药房寨上分店,2023-11-17,351170.829711
363,厦门鹭燕大药房寨上分店,2023-11-18,350025.290461
363,厦门鹭燕大药房寨上分店,2023-11-19,348081.10446099995
363,厦门鹭燕大药房寨上分店,2023-11-20,345058.50210100005
363,厦门鹭燕大药房寨上分店,2023-11-21,342312.66875099996
363,厦门鹭燕大药房寨上分店,2023-11-22,339921.26435099996
363,厦门鹭燕大药房寨上分店,2023-11-23,355621.977645
363,厦门鹭燕大药房寨上分店,2023-11-24,362510.330295
363,厦门鹭燕大药房寨上分店,2023-11-25,352941.401495
363,厦门鹭燕大药房寨上分店,2023-11-26,350108.890295
363,厦门鹭燕大药房寨上分店,2023-11-27,339119.815695
363,厦门鹭燕大药房寨上分店,2023-11-28,334215.938475
363,厦门鹭燕大药房寨上分店,2023-11-29,360254.037565
363,厦门鹭燕大药房寨上分店,2023-11-30,358508.16121500003
363,厦门鹭燕大药房寨上分店,2023-12-01,357230.057165
363,厦门鹭燕大药房寨上分店,2023-12-02,353481.071565
363,厦门鹭燕大药房寨上分店,2023-12-03,347576.167715
363,厦门鹭燕大药房寨上分店,2023-12-04,341867.827715
363,厦门鹭燕大药房寨上分店,2023-12-05,366591.476252
363,厦门鹭燕大药房寨上分店,2023-12-06,364118.776452
363,厦门鹭燕大药房寨上分店,2023-12-07,369015.385832
363,厦门鹭燕大药房寨上分店,2023-12-08,384775.199082
363,厦门鹭燕大药房寨上分店,2023-12-09,380911.529382
363,厦门鹭燕大药房寨上分店,2023-12-10,378229.319482
